Variable,Coefficient,Absolute Coefficient
FF: Promo Cards Opus IV,0.0,0.0
FF: Promo Cards Opus III,0.0,0.0
FF: Promo Cards Opus II,0.0,0.0
FF: Promo Cards Opus I,0.0,0.0
Starter Opus XII,0.0,0.0
Starter Opus VI,0.0,0.0
Starter Opus IX,0.0,0.0
Starter Opus IV,0.0,0.0
Starter Opus II,0.0,0.0
Starter FF: Promo Cards,0.0,0.0
Hero Legend,0.0,0.0
Opus XI Opus XII,0.0,0.0
